Tiêu đề,Giá,Diện tích,Giá/m2,Số phòng ngủ,Số phòng tắm,Địa chỉ,Ngày đăng
"Hàng hiếm Phước Bình! Chủ hạ giá bán gấp nhà mặt tiền Đại Lộ 2, Q9 - 90 m2 - 11 tỷ thương lượng",11 tỷ,90 m²,"122,22 tr/m²",4,2,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Bán nhà mặt tiền Hiệp Phú - gần Vincom Quận 9 - 80M2 - Ngang 4.8M - Đường Xe Tải Thông,"5,6 tỷ",80 m²,70 tr/m²,2,1,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Lên sóng siêu phẩm ngay Nguyễn Thượng Hiền, P. 5, Quận 3, DT 60m2, giá 2 tỷ 690, nhà mới, sổ riêng","2,69 tỷ",60 m²,"44,83 tr/m²",4,4,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Về quê bán nhà 3tỷ305/72,8m2 Đ.5,9m Bùi Hữu Nghĩa - P.2 - Bình Thạnh cho thuê 23tr gần Chợ Bà Chiểu","3,31 tỷ",72.8 m²,"45,47 tr/m²",4,4,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
DÃY TRỌ 95m2 hẽm xe tải THU NHẬP 15 TRIỆU/ THÁNG- LÊ ĐỨC THỌ GÒ VẤP-khu vực xây chdv 5 tầng,"7,35 tỷ",95 m²,"77,37 tr/m²",5,5,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
Bán Nhà Cũ Hẻm Xe Hơi - Sát Ngã Tư Lê Quang Định & Nguyễn Văn Đậu,"9,5 tỷ",70 m²,"135,71 tr/m²",3,2,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Chính chủ cần bán nhà góc 2 mt hxh 58/ đồng nai giá về 24 tỷ,24 tỷ,68 m²,"352,94 tr/m²",N/A,N/A,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà ngộp - 1 trệt 1 lầu -GIÁ 1,68 TỶ- mới 100%- đường BA VÂN, TÂN BÌNH","1,68 tỷ",38.5 m²,"43,64 tr/m²",N/A,N/A,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
(Nhà rẻ)DT đẹp: 4.6 x 30m (139m2) - đường Thiên Phước Q.TB kế bên Q.10 - hẻm 8m-giá rẻ : 16.8 tỷ TL,"16,8 tỷ",139 m²,"120,86 tr/m²",3,3,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Bán Shophouse Thảo Điền Green, diện tích 54m2, có sẵn hợp đồng thuê 36,8 triệu/tháng","17,5 tỷ",54 m²,"324,07 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán Shophouse Thảo Điền Green, diện tích 90,15m2, đang cho thuê 69,7 triệu/tháng","29,05 tỷ",90.15 m²,"322,24 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Hẻm xe hơi thông đường số lê văn quới 4 tầng 4m x 15m sát bốn xã hơn 6 tỷ,6 tỷ,60 m²,100 tr/m²,4,4,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà riêng đi nước ngoài gấp, 68m2 ở Lã Xuân Oai, Long Thạnh Mỹ, Thủ Đức",Thương lượng,68 m²,N/A,3,3,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà ngay Nguyễn Duy Trinh, 1T - 1L chỉ 4 tỷ",4 tỷ,56 m²,"71,43 tr/m²",4,2,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ kẹt vốn KD bán gấp nhà Nguyễn Du, P7, Gò Vấp. 60m2. Chỉ: 2,68tỷ. LHN: 0765069021 - Trúc",Thương lượng,60 m²,N/A,4,4,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
Gấp bán nhà 5 tầng - 12 phòng - btct lê văn quới,"7,8 tỷ",64 m²,"121,88 tr/m²",N/A,N/A,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Nhà Tân Phú, Hẻm xe hơi, 3 Tầng BTCT,45M2 giá chỉ nhỉnh hơn 6x tỷ","6,5 tỷ",45 m²,"144,44 tr/m²",4,4,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà HXH Vườn Lài Tân Phú, 82,5m2, 4 tầng, 1 phút đến Công viên - Coopmart chỉ 6.95 tỷ!","6,95 tỷ",82.5 m²,"84,24 tr/m²",N/A,N/A,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán nhanh Galaxy 9 view ĐB tầng cao đẹp , DT 122m 3pn 3wc giá 9.2 tỷ . Lh: 0983568730 gặp Tín .","9,2 tỷ",122 m²,"75,41 tr/m²",3,3,"Q. 4, Tp. Hồ Chí Minh",12/10/2025
"Bán officetel 37m chỉ 2,6 tỷ tại dự án Golden King Số 15 Nguyễn Lương Bằng Phường Tân Phú Quận 7.","2,6 tỷ",35 m²,"74,29 tr/m²",N/A,1,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Siêu phẩm view sông mặt tiền đường Số Phạm Hữu Lầu, P. Phú Mỹ, Q7 - Full nội thất Luxury","16,8 tỷ",90 m²,"186,67 tr/m²",4,5,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Hẻm xe hơi thông Sát Mặt tiền Tăng Bạt Hổ BÌNH THẠNH | 50m2(4.6 x11) A4 - 3 Tầng - 3PN | 10.5 tỷ,"10,5 tỷ",50 m²,210 tr/m²,3,4,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Bán nhà nhà mới- kiểu sân vườn- lê văn lương- nhà bè đường nhựa 8m- 121m2- giá hơn 6 tỷ.,"6,75 tỷ",121 m²,"55,79 tr/m²",2,2,"H. Nhà Bè, Tp. Hồ Chí Minh",12/10/2025
"2PN về Quận 1 10p, Trả trước 10% sinh lời x2x3 bàn giao Luxury","8,56 tỷ",71 m²,"120,56 tr/m²",2,2,"Tp. Thủ Đức, Tp. Hồ Chí Minh","2PN về Quận 1 10p, Trả trước 10% sinh lời x2x3 bàn giao Luxury"
"Nhà phố 2 lầu 4x15m nở hậu, nội thất cao cấp, sẵn gara ô tô; Khu an ninh, yên tĩnh, Quận 7","7,49 tỷ",60 m²,"124,83 tr/m²",3,4,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Hàng mới - giá đầu tư - biệt thự Nam Long Valora Kikyo - Hotline 0914732732,"24,5 tỷ",230 m²,"106,52 tr/m²",4,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Mua Ngay-Ngang 5.2m x13m Đúc 2 Lầu.Không có căn Thứ 2,"6,9 tỷ",68 m²,"101,47 tr/m²",N/A,N/A,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Nắm chính chủ giỏ hàng The Vista An Phú với hơn 40 căn hộ, 101m² 7.98tỷ, 135m² 10.8tỷ quá rẻ đầu tư","7,98 tỷ",101 m²,"79,01 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Chuyển nhượng officetel Lavida plus 27m2 có nội thất, giá 1.950 tỷ. LH xem nhà 0906385525","1,95 tỷ",27 m²,"72,22 tr/m²",1,1,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Bán Nhà 48m Nguyễn Bặc_Tân Bình_Hẻm Ô Tô_2Tầng_3PN2wc_Giá 7Tỷ_ALo: 0974945908Phương xem nhà),7 tỷ,48 m²,"145,83 tr/m²",3,2,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Nhà 50m2, 3 tầng, sau căn mặt tiền Đường Số 2 - CX Đô Thành P4 Q3, chính chủ cần bán giá rẻ","9,6 tỷ",50 m²,192 tr/m²,4,3,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm CHDV Trần Bình Trọng , Bình Thạnh : 84m2 (4,5 x22) - 4 tầng : 7pn,7wc -9,8 tỷ TL","9,8 tỷ",84 m²,"116,67 tr/m²",7,7,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"BÁN GẤP NHÀ ĐƯỜNG 5M Âu Cơ, 4.1x16, 2 Tầng, 3Pn, giá 5 tỷ hơn.","5,8 tỷ",58 m²,100 tr/m²,3,N/A,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ bán nhà 1 trệt 1 lầu Quận 3 giá đất, hoàn công đủ, vị trí vàng trung tâm","7,7 tỷ",31.8 m²,"242,14 tr/m²",1,1,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Trần Kế Xương, P.7 , Phú Nhuận - Nhà đẹp 2 tầng 44m2 mà chỉ 3.1 TỶ, có thật 100% chính chủ KHÔNG ẢO","3,1 tỷ",44 m²,"70,45 tr/m²",N/A,N/A,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 1T-2L 52m² (4mx13m) đường Số 6, P.Long Trường, Q9 - Chỉ 5ty2","5,2 tỷ",52 m²,100 tr/m²,3,3,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Tặng toàn bộ nội thất& Giảm giá 200tr nhà 68m2 view bờ kè thoáng mát 4 tầng - 4 phòng ngủ master,"8,5 tỷ",68 m²,125 tr/m²,4,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Đi tầm 10p tới bv thống nhất hẻm 95/bắchải, 3,39tỷ,51m2,3pn3wc,q10.sổ riêng đang cho thuê 16tr.lh e","3,39 tỷ",51 m²,"66,47 tr/m²",3,3,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Chủ bán gấp nhà giá tốt đầu tư, hẻm 1/ Huỳnh Văn Bánh, Phú Nhuận, 80m2, 3tỷ990tr, sẵn HĐT 25tr/th","3,99 tỷ",80 m²,"49,88 tr/m²",4,N/A,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 50m2, 3 tầng, sau căn mặt tiền Đường Số 2 - CX Đô Thành P4 Q3, chính chủ cần bán giá rẻ","9,6 tỷ",50 m²,192 tr/m²,4,3,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm CHDV Trần Bình Trọng , Bình Thạnh : 84m2 (4,5 x22) - 4 tầng : 7pn,7wc -9,8 tỷ TL","9,8 tỷ",84 m²,"116,67 tr/m²",7,7,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"BÁN GẤP NHÀ ĐƯỜNG 5M Âu Cơ, 4.1x16, 2 Tầng, 3Pn, giá 5 tỷ hơn.","5,8 tỷ",58 m²,100 tr/m²,3,N/A,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ bán nhà 1 trệt 1 lầu Quận 3 giá đất, hoàn công đủ, vị trí vàng trung tâm","7,7 tỷ",31.8 m²,"242,14 tr/m²",1,1,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Trần Kế Xương, P.7 , Phú Nhuận - Nhà đẹp 2 tầng 44m2 mà chỉ 3.1 TỶ, có thật 100% chính chủ KHÔNG ẢO","3,1 tỷ",44 m²,"70,45 tr/m²",N/A,N/A,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 1T-2L 52m² (4mx13m) đường Số 6, P.Long Trường, Q9 - Chỉ 5ty2","5,2 tỷ",52 m²,100 tr/m²,3,3,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Tặng toàn bộ nội thất& Giảm giá 200tr nhà 68m2 view bờ kè thoáng mát 4 tầng - 4 phòng ngủ master,"8,5 tỷ",68 m²,125 tr/m²,4,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Đi tầm 10p tới bv thống nhất hẻm 95/bắchải, 3,39tỷ,51m2,3pn3wc,q10.sổ riêng đang cho thuê 16tr.lh e","3,39 tỷ",51 m²,"66,47 tr/m²",3,3,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Chủ bán gấp nhà giá tốt đầu tư, hẻm 1/ Huỳnh Văn Bánh, Phú Nhuận, 80m2, 3tỷ990tr, sẵn HĐT 25tr/th","3,99 tỷ",80 m²,"49,88 tr/m²",4,N/A,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
Bán nhà hẻm thông 3m thống nhất phường 16 gò vấp,"4,35 tỷ",40 m²,"108,75 tr/m²",2,2,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"3TỶ390 sở hữu ngay căn nhà ở Hoàng Văn Thụ, Phú Nhuận - 75m2, 1T3L 4PN 5WC - Hẻm rộng kinh doanh 5M","3,39 tỷ",75 m²,"45,2 tr/m²",4,5,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
Bán cặp đất Gồm 1 C4 cộng 1 Trệt lầu khu trung tâm nguyễn văn nghi p7 gò vấp,"8,9 tỷ",89 m²,100 tr/m²,2,2,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
Bán Nhà Hiệp Bình Chánh Gần Đại Học Luật- Vòng Xoay Phạm Văn Đồng- Sổ hồng riêng- Đồng Bộ Dân Trí,"8,5 tỷ",56 m²,"151,79 tr/m²",4,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"80m2 17,5 tỷ shophouse kinh doanh Thảo Điền Green, nhận nhà và sổ hồng ngay","17,5 tỷ",80 m²,"218,75 tr/m²",2,2,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Mặt tiền kd đường chợ lớn-nhà 4 tầng 80m2(4x20)-giá 17.5 tỷ,"17,5 tỷ",80 m²,"218,75 tr/m²",4,5,"Q. 6, Tp. Hồ Chí Minh",12/10/2025
Tân phú- mt kinh doanh trung tâm vip hiệp tân -3tầng mới đẹp-64m2 -giá chỉ 8t.ỷ8,"8,8 tỷ",64 m²,"137,5 tr/m²",3,2,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Hàng hiếm trường thọ - 50tr/m2 đất full thổ ko quy hoạch ,ko lộ giới - hẻm 4.2 - ngang 10 -dt 183m2",10 tỷ,183.3 m²,"54,56 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Chỉ 3.890 tỷ Đất hẻm ô tô thông, gần cầu Rạch Gia Vườn Lài, An Phú Đông, ko có lô thứ 2","3,89 tỷ",45 m²,"86,44 tr/m²",N/A,N/A,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
Bán gấp lô đất đẹp 101m² giá rẻ - chỉ 650 triệu/sổ riêng,650 triệu,101 m²,"6,44 tr/m²",N/A,N/A,"H. Củ Chi, Tp. Hồ Chí Minh",12/10/2025
"Nhà 4 tần vị trí vip cách mặt tiền trường sa 10m, giảm 250 triệu cần bán nhanh thu hồi vốn","5,6 tỷ",32 m²,175 tr/m²,3,3,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
Mtkd đoàn thị điểm - sát phan xích long nhỉnh 10 tỷ - 4 tầng (5pn/4wc),"10,7 tỷ",38 m²,"281,58 tr/m²",5,4,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"mã căn: 38977 bán nhà gấp: HXH Gò Dầu, Quận Tân Phú,66m2- (4*16.5)- nhỉnh 10 tỷ.",10 tỷ,66 m²,"151,52 tr/m²",N/A,N/A,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"mã căn: 1107662 bán nhà gấp: HXH Gò Dầu, Quận Tân Phú, dt 113m2 (8*15) nhỉnh 8,3tỷ.",9 tỷ,113 m²,"79,65 tr/m²",N/A,N/A,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
Nhà đẹp ở ngay-23 tỷ dọn vào ở - pháp lý rõ ràng - hỗ trợ ra sổ cầm tay,23 tỷ,77.9 m²,"295,25 tr/m²",N/A,N/A,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Bán Nhà riêng tại Đường Thới An 11, Ngang siêu rộng 6,2x16m đúc 3 lầu, tiện ích xung quanh đầy đủ","6,89 tỷ",96 m²,"71,77 tr/m²",5,5,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
Siêu phẩm nguyễn văn lượng - gò vấp - 380m - 29.x tỏi.,30 tỷ,380 m²,"78,95 tr/m²",N/A,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
Bán đất tặng nhà - hxh nguyễn văn lượng - gò vấp - 105m - 8 tỷ xí,"8,4 tỷ",105 m²,80 tr/m²,4,4,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Bán Gấp Nhà 2 Mặt Tiền Cao Thắng Quận 3 ( 8,2x22m)- 4 Tầng - HĐT: 150 triệu - Giá 53 Tỷ",53 tỷ,180 m²,"294,44 tr/m²",N/A,N/A,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Giá siêu tốt! Bán căn hộ 4PN view sông trực diện diện tích 213m2, giá 16 tỷ - chỉ 75tr/m2",16 tỷ,213 m²,"75,12 tr/m²",4,5,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Hạ giá để bán nhanh CH Hoàng Kim Thế Gia, Q. Bình Tân, DT 65m2 2PN 2WC Giá 1tỷ720 có sổ hồng riêng","1,72 tỷ",65 m²,"26,46 tr/m²",2,2,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
Bán nhà HXH Lê Liễu 4x10m xây trệt lầu giá 5.4 tỷ,"5,4 tỷ",40 m²,135 tr/m²,N/A,N/A,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Quá rẻ hxh 4 chỗ - gần 90m2 - đinh bộ lĩnh, bình thạnh chỉ 8,8 t.ỷ tl-- khu dân trí cao","8,79 tỷ",90 m²,"97,67 tr/m²",5,5,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Với 3T250 Sở Hữu Căn Nhà 41M2 Gần Mặt Tiền Huỳnh Tấn Phát 2 Tầng Hàng Xóm Phú Mỹ Hưng,"3,25 tỷ",41 m²,"79,27 tr/m²",2,2,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Nhà 3 tầng - 5x15m full nội thất cạnh khu Tên Lửa. Nhỉn 6Tỷ,6 tỷ,75 m²,80 tr/m²,5,5,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán gấp CC Urban Hill, Nguyễn Văn Linh, Tân Phong, Q7, TP.HCM, 10,5 tỷ, 110m2","10,5 tỷ",110 m²,"95,45 tr/m²",3,2,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Nhà hẻm thông 4m, Dương Bá Trạc- Ng Thị Tần (4.2 x21m), nở hậu, có 4 tầng",11 tỷ,93 m²,"118,28 tr/m²",4,4,"Q. 8, Tp. Hồ Chí Minh",12/10/2025
Cực hiếm bán nhà HXH né nhau KDC Bộ Công An đường số 3 nhà 3 tầng còn mới 4PN chỉ nhỉnh 11T,"11,5 tỷ",33 m²,"348,48 tr/m²",4,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà mặt tiền võ thị sáu phường tân định quận 1, mới + đẹp 3 tầng sân thượng ở ngay giá 18 tỷ","18,85 tỷ",75 m²,"251,33 tr/m²",3,4,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Gia đình cần bán lại nhà mặt tiền quốc lộ 22 , diện tích 12 x36m, giá bán nhanh 3,5 tỷ","3,5 tỷ",432 m²,"8,1 tr/m²",3,1,"H. Củ Chi, Tp. Hồ Chí Minh",12/10/2025
Siêu vị trí đường Nguyễn Quý Cảnh Quận 2- DT: 10x17m- Kết cấu : 3 tầng - Giá bán 56 tỷ,56 tỷ,170 m²,"329,41 tr/m²",4,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Hạ 15 tỷ! Bán nhà 3MT Dương Quảng Hàm, P5, (DT: 15x30m), HĐT 150tr/th, Giá bán: 63 tỷ(TL)",63 tỷ,450 m²,140 tr/m²,N/A,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Bán gấp nhà 2 lầu mặt tiền ở Phú Nhậu ngay ngã tư, giá 12 tỷ có TL, phù hợp kinh doanh buôn bán",12 tỷ,52.5 m²,"228,57 tr/m²",N/A,N/A,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Căn cần ra gấp 59m2 ( 2pn ) - giá 2,6 tỷ còn TL, sổ hồng sẵn","2,6 tỷ",59 m²,"44,07 tr/m²",2,2,"H. Bình Chánh, Tp. Hồ Chí Minh",12/10/2025
Dưới 3 Tỷ Sở Hữu Căn Hộ ECO GREEN SAIGON QUẬN 7 Full Nội Thất,Thương lượng,72 m²,N/A,N/A,N/A,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Bán Biệt Thự Mini đường An Dương Vương, Bình Tân, 8x12m (96m2), 2 tầng, hẻm 6m thông, giá chỉ 7tỷ",7 tỷ,96 m²,"72,92 tr/m²",N/A,N/A,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà phố đường Trần Hưng Đạo, Q1, 77m2, giá 25 tỷ 0931303351",25 tỷ,77 m²,"324,68 tr/m²",3,2,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
Bán nhà cư xá phú thọ hòa lạc long quân 3 tầng hẻm xe hơi thông chỉ 9.9 tỷ,"9,9 tỷ",65 m²,"152,31 tr/m²",4,3,"Q. 11, Tp. Hồ Chí Minh",12/10/2025
"B,án nhà có chỗ đậu ôtô bên hông, nhà, nguyễn hữu dật, tân phú, hẻm 6m, thông, chỉ 9,7 tỷ","9,7 tỷ",58 m²,"167,24 tr/m²",4,5,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán gấp nhà chính chủ tại Điện Biên Phủ, Bình Thạnh, giá 3,35tỷ. , 65m2, 3PN, 3WC. Hẻm xe hơi. LHN",Thương lượng,65 m²,N/A,3,3,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Cần Bán Chung Cư Hoa Sen Đối Diện Công Viên Đầm Sen Quận 11, Sổ Hồng Đầy Đủ . LH 0898438990","3,8 tỷ",72 m²,"52,78 tr/m²",2,2,"Q. 11, Tp. Hồ Chí Minh",12/10/2025
Eaton Park - Chuyển nhượng căn 1PN toà A1 trục 05 tầng thấp giá 7.850 tỷ bao thuế phí,"7,85 tỷ",55 m²,"142,73 tr/m²",1,1,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Căn hộ 2PN, 62m2 tại Topaz Elite, Cao Lỗ, Q8","2,2 tỷ",62 m²,"35,48 tr/m²",2,2,"Q. 8, Tp. Hồ Chí Minh",12/10/2025
"Duy nhất 1 căn biệt thự sông nở hậu Lakeview City bán giá 29,8 tỷ","29,8 tỷ",163 m²,"182,82 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
RẺ NHẤT THỊ TRƯỜNG. Chỉ với 47 tỷ sở hữu ngay BIỆT THỰ view trực diện sông Sài Gòn. 15x20m. CN:320m,47 tỷ,330 m²,"142,42 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán BT 170m2 giá tốt tại Đ.Số 41, p Linh Đông, Thủ Đức, HCM","9,8 tỷ",170 m²,"57,65 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Lô đất đẹp vuông vức 4x16,6m Cách mặt tiền vài bước Giá chỉ 7,5 tỷ","7,5 tỷ",65.5 m²,"114,5 tr/m²",N/A,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Quận 3, ngay cmt8 góc nguyễn đình chiểu, 6 tầng btct, hẻm 4m, nhà nở hậu, chỉ nhỉnh 6 tỷ","6,9 tỷ",30 m²,230 tr/m²,4,4,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Căn Góc 2 Mặt Tiền Đinh Bộ Lĩnh, Bình Thạnh - DT : 16 x 12 m - Giá : 45 tỷ",45 tỷ,160 m²,"281,25 tr/m²",N/A,N/A,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
24tỷ sở hữu ngay dt 338m2 q2-mặt tiền đường số khu dân cư hiện hữu- cách nguyễn duy trinh 20m,23 tỷ,280 m²,"82,14 tr/m²",5,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Góc 2 mt nguyễn thái bình quận 1. dt: 5.2x20, 5 tầng, hđt 168tr giảm còn 47 tỷ",47 tỷ,97 m²,"484,54 tr/m²",N/A,N/A,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
RẺ NHẤT THỊ TRƯỜNG. Chỉ với 47 tỷ sở hữu ngay BIỆT THỰ view trực diện sông Sài Gòn. 15x20m. CN:320m,47 tỷ,330 m²,"142,42 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán BT 170m2 giá tốt tại Đ.Số 41, p Linh Đông, Thủ Đức, HCM","9,8 tỷ",170 m²,"57,65 tr/m²",N/A,N/A,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Lô đất đẹp vuông vức 4x16,6m Cách mặt tiền vài bước Giá chỉ 7,5 tỷ","7,5 tỷ",65.5 m²,"114,5 tr/m²",N/A,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Quận 3, ngay cmt8 góc nguyễn đình chiểu, 6 tầng btct, hẻm 4m, nhà nở hậu, chỉ nhỉnh 6 tỷ","6,9 tỷ",30 m²,230 tr/m²,4,4,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Căn Góc 2 Mặt Tiền Đinh Bộ Lĩnh, Bình Thạnh - DT : 16 x 12 m - Giá : 45 tỷ",45 tỷ,160 m²,"281,25 tr/m²",N/A,N/A,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
24tỷ sở hữu ngay dt 338m2 q2-mặt tiền đường số khu dân cư hiện hữu- cách nguyễn duy trinh 20m,23 tỷ,280 m²,"82,14 tr/m²",5,4,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Góc 2 mt nguyễn thái bình quận 1. dt: 5.2x20, 5 tầng, hđt 168tr giảm còn 47 tỷ",47 tỷ,97 m²,"484,54 tr/m²",N/A,N/A,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà hẻm xe hơi ngủ trong nhà Phan Anh 4x15,5 62,5m2 , 3 tầng BTCT giá 6,5 tỷ còn TL 0926922229","6,5 tỷ",62.5 m²,104 tr/m²,2,3,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà gần khách sạn new world căn góc 3 mặt tiền 32m 1 trệt 1 lầu 2pn, 2wc giá 6,25 tỷ","6,25 tỷ",32 m²,"195,31 tr/m²",2,2,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
Gò vấp - phan huy ích p.an hội tây - hẻm xe hơi trước nhà 8m - nội thất mới cực đẹp - sang xịn,"8,6 tỷ",52.5 m²,"163,81 tr/m²",4,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",Gò vấp - phan huy ích p.an hội tây - hẻm xe hơi trước nhà 8m - nội thất mới cực đẹp - sang xịn
"Quá rẻ ! Nhà mặt tiền Nguyễn Oanh, Phường 17, Gò Vấp. 120m2 - 5 tầng- Đang cho thuê 55 triệu/tháng.","18,3 tỷ",120 m²,"152,5 tr/m²",N/A,N/A,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
