Tiêu đề dự án,Giá,Diện tích,Giá/m²,Địa chỉ,Số phòng ngủ,Số phòng vệ sinh,Ngày đăng
"Bán căn hộ chung cư Asiana Capella, 4,6 tỷ, 85m2, 3PN, 2WC tại Trần Văn Kiểu, Q6, HCM","4,6 tỷ",85 m²,"54,12 tr/m²","Quận 6, Hồ Chí Minh",3,2,07/10/2025
"Chủ kẹt tiền bán nhà đẹp Nguyễn An Ninh P14 Bình Thạnh, gần trường học, bệnh viện",Giá thỏa thuận,50 m²,N/A,"Bình Thạnh, Hồ Chí Minh",3,2,07/10/2025
Bán căn nhà mẫu đẹp nhất dự án Classia giá rẻ nhất thị trường,40 tỷ,160 m²,250 tr/m²,"Quận 9, Hồ Chí Minh",5,5,07/10/2025
"Bán 2 phòng ngủ 2PN The Marq size 73m2 | Ưu điểm full nội thất, tầng thấp, đang có Hợp đồng thuê","13,5 tỷ",73 m²,"184,93 tr/m²","Quận 1, Hồ Chí Minh",2,2,07/10/2025
"Nhà Nguyễn Văn Đậu, P6, Q. BT ngay phòng công chứng Số 6 - DT: 45m2 + 3 tầng - giá 7,8 tỷ","7,8 tỷ",45 m²,"173,33 tr/m²","Bình Thạnh, Hồ Chí Minh",6,6,07/10/2025
"Bán đất gần Bến Súc, Củ Chi, 2,8 tỷ, 654,4 m2, xả lỗ từ mức 4 tỷ","2,8 tỷ","654,4 m²","4,28 tr/m²","Củ Chi, Hồ Chí Minh",N/A,N/A,07/10/2025
Bán nhà Tân Cảng sát bên Metro - hẻm xe hơi quay đầu - nhà mới full nội thất đỗ xe 7 chỗ trong nhà,"10,8 tỷ",50 m²,216 tr/m²,"Bình Thạnh, Hồ Chí Minh",4,4,07/10/2025
"Chính chủ rao bán căn Đặng Văn Ngữ DT 70m2, không dính quy hoạch, đầy đủ các tiện ích",Giá thỏa thuận,70 m²,N/A,"Phú Nhuận, Hồ Chí Minh",3,4,07/10/2025
"Bán lô đất đẹp trục chính 659(25m) KDC Phú Nhuận, Phước Long B, Q9 cũ TP Thủ Đức, TP HCM","33,84 tỷ","294,3 m²",115 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chính chủ bán CH Orchid Park, Nguyễn Lương Bằng, Nhà Bè, 2,7 tỷ, có bớt","2,7 tỷ",72 m²,"37,5 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,N/A,07/10/2025
"HẺM VIP NGUYỄN VĂN ĐẬU P11 BT 5 TẦNG MỚI CỨNG - (4X16M) HẺM 8M XE HƠI QUAY ĐẦU, DÂN TRÍ CAO","12,9 tỷ",60 m²,215 tr/m²,"Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán shophouse giá siêu hời tại Căn hộ Florita, Tân Hưng,Q7, 5.8 tỷ, 103m2 LH 0932 139 ***","5,8 tỷ",103 m²,"56,31 tr/m²","Quận 7, Hồ Chí Minh",2,1,07/10/2025
"Bán lô đất đẹp trục chính 659(25m) KDC Phú Nhuận, Phước Long B, Q9 cũ TP Thủ Đức, TP HCM","33,84 tỷ","294,3 m²",115 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chính chủ bán CH Orchid Park, Nguyễn Lương Bằng, Nhà Bè, 2,7 tỷ, có bớt","2,7 tỷ",72 m²,"37,5 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,N/A,07/10/2025
"HẺM VIP NGUYỄN VĂN ĐẬU P11 BT 5 TẦNG MỚI CỨNG - (4X16M) HẺM 8M XE HƠI QUAY ĐẦU, DÂN TRÍ CAO","12,9 tỷ",60 m²,215 tr/m²,"Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán shophouse giá siêu hời tại Căn hộ Florita, Tân Hưng,Q7, 5.8 tỷ, 103m2 LH 0932 139 ***","5,8 tỷ",103 m²,"56,31 tr/m²","Quận 7, Hồ Chí Minh",2,1,07/10/2025
"Chính chủ bán nhà hẻm xe tải 64m2 - Chu Văn An, Bình Thạnh, học viện Cán Bộ",Giá thỏa thuận,64 m²,N/A,"Bình Thạnh, Hồ Chí Minh",4,5,07/10/2025
"Chỉ nhỉnh 5,15 tỷ có ngay MTNB 10m Thoại Ngọc Hầu, Tân Phú - 60m2 - 2 tầng","5,15 tỷ",60 m²,"85,83 tr/m²","Tân Phú, Hồ Chí Minh",N/A,N/A,07/10/2025
Chính chủ kẹt tiền bán lỗ nhà kế mặt tiền Lê Văn Thọ,Giá thỏa thuận,45 m²,N/A,"Gò Vấp, Hồ Chí Minh",4,3,07/10/2025
"Sẵn dòng tiền thuê |Bán Căn Hộ 1PN The Marq Hạng sang Quận 1, Tầng cao, đẹp. bị thị trường bỏ quên","8,9 tỷ",51 m²,"174,51 tr/m²","Quận 1, Hồ Chí Minh",1,1,07/10/2025
"Sẵn kết cấu 2 tầng, có dòng tiền 13tr/tháng khu cán bộ Phú Nhuận! DT 4.1x13.4m, KCX 2 Tầng, 9.2 tỷ","9,2 tỷ","49,3 m²","186,61 tr/m²","Phú Nhuận, Hồ Chí Minh",N/A,N/A,07/10/2025
Chủ kẹt vốn bán gấp nhà Nguyễn Huy Lượng Bình Thạnh,Giá thỏa thuận,42 m²,N/A,"Bình Thạnh, Hồ Chí Minh",3,4,07/10/2025
"Giỏ hàng CĐT cuối cùng Celesta Avenue từ 40 tỷ mặt tiền NHT,cam kết cho thuê lại, tặng gói nội thất",40 tỷ,196 m²,"204,08 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán căn hộ 2PN, 1WC, 49m2 view nội khu thoáng mát - đầy đủ tiện ích - giá chỉ từ 1,5 tỷ - 1,9 tỷ","1,55 tỷ",49 m²,"31,63 tr/m²","Bình Chánh, Hồ Chí Minh",2,1,07/10/2025
Centery 3PN tiến độ giãn 36th - 121m2 giá 10ty350 (102%),"10,35 tỷ",121 m²,"85,54 tr/m²","Tân Phú, Hồ Chí Minh",3,3,07/10/2025
"Bán CC 2PN, 2WC, giá 2,2 tỷ, 62m2 tại Huỳnh Tấn Phát, Tân Thuận Đông, Q7","2,2 tỷ",63 m²,"34,92 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Lô đất 88,6m2 nở hậu, gần công viên, trường học. Cách Đại Lộ Võ Văn Kiệt 2 phút di chuyển","6,47 tỷ","88,6 m²",73 tr/m²,"Bình Tân, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán gấp nhà HXH 12x14m, 3 lầu ST mới đẹp đường Nguyễn Bỉnh Khiêm Quận 1 gần Lê Duẩn giá 35 tỷ TL",35 tỷ,"169,9 m²",206 tr/m²,"Quận 1, Hồ Chí Minh",N/A,N/A,07/10/2025
"Lô đất đẹp ngay vincom đường Nguyễn Xí ra đường QL13 chỉ 250m DT 60m2 full thổ cư, đường rộng 12m",Giá thỏa thuận,60 m²,N/A,"Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
HXH lê văn thọ P.11 4x15m 1T2LST giá chỉ 7.1 tỷ- nhà mới ở ngay,"7,1 tỷ",60 m²,"118,33 tr/m²","Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
"Trực tiếp chủ Bán căn đẹp 2 phòng ngủ Saigonres Plaza, 3,85 tỷ, 72m2","3,85 tỷ",72 m²,"53,47 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2,07/10/2025
"Nhà phố Kênh Đào Mizuki Park (5x20m)1 trệt 3 lầu giá 7,25 tỷ (tự xây), giá 9,8 tỷ (xây sẵn), sẵn sổ",Giá thỏa thuận,100 m²,N/A,"Bình Chánh, Hồ Chí Minh",N/A,N/A,07/10/2025
HXH lê văn thọ P.11 4x15m 1T2LST giá chỉ 7.1 tỷ- nhà mới ở ngay,"7,1 tỷ",60 m²,"118,33 tr/m²","Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
"Trực tiếp chủ Bán căn đẹp 2 phòng ngủ Saigonres Plaza, 3,85 tỷ, 72m2","3,85 tỷ",72 m²,"53,47 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2,07/10/2025
"Nhà phố Kênh Đào Mizuki Park (5x20m)1 trệt 3 lầu giá 7,25 tỷ (tự xây), giá 9,8 tỷ (xây sẵn), sẵn sổ",Giá thỏa thuận,100 m²,N/A,"Bình Chánh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán gấp nhà đường Nguyễn Trọng Tuyển, Tân Bình, chưa đến 4 tỷ - DT: 60m2, 1T2L, SHR","3,7 tỷ","60,42 m²","61,24 tr/m²","Tân Bình, Hồ Chí Minh",4,4,07/10/2025
"Nhà đẹp Phan Xích Long, Phú Nhuận",Giá thỏa thuận,50 m²,N/A,"Phú Nhuận, Hồ Chí Minh",2,2,07/10/2025
"Bán CC mini 2PN, 2WC, 45m2 tại Cách Mạng Tháng Tám, p 15, Q.10, HCM, giá tốt 2,699 tỷ","2,7 tỷ",45 m²,"59,98 tr/m²","Quận 10, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà (6x17m) 96m2 gần bệnh viện, ngay chợ Bình Chánh đang cho thuê 20 triệu/tháng",Giá thỏa thuận,96 m²,N/A,"Bình Chánh, Hồ Chí Minh",3,2,07/10/2025
Góc 2 MT Nguyễn Văn Nghi P.1 5x14m 1 trệt lửng 2 lầu- giá chỉ 13.8 tỷ,"13,8 tỷ",70 m²,"197,14 tr/m²","Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
"Hàng hiếm lâu lâu mới xuất hiện, khách sạn đường số Trần Não !!!",38 tỷ,"125,5 m²","302,79 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà hẻm đẹp, 3 tầng Phan Tây Hồ - Trần Kế Xương, gần 50m2 chỉ hơn 6 tỷ","6,2 tỷ","48,6 m²","127,57 tr/m²","Phú Nhuận, Hồ Chí Minh",3,3,07/10/2025
Độc quyền giảm 1 tỷ - bán gấp nhà đẹp hẻm xe hơi - ngay công viên Làng Hoa Gò Vấp,6 tỷ,"45,5 m²","131,87 tr/m²","Gò Vấp, Hồ Chí Minh",3,2,07/10/2025
Đất view công viên khu Tên Lửa Q. Bình Tân DT: 104m² giá 10 tỷ có TL,10 tỷ,104 m²,"96,15 tr/m²","Bình Tân, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán căn 2PN 2WC CC Thủ Thiêm Garden, 269 Liên Phường, Quận 9, TP HCM. 0935 387 ***","3,05 tỷ",62 m²,"49,19 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"Hàng hiếm! Mặt tiền đường số Nguyễn Duy Trinh, rẻ hơn thị trường 20%, phù hợp xây căn hộ dịch vụ",25 tỷ,274 m²,"91,24 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà Âu Cơ CHDV - HXH - 5 tầng - 4x16m, giáp Quận 10, Quận 11 Lạc Long Quân","8,18 tỷ","64,8 m²","126,24 tr/m²","Tân Phú, Hồ Chí Minh",6,6,07/10/2025
"HOT DEAL căn hộ 1+1PN tầng cao view trực diện Sông Sài Gòn, Quận 1. Dự án VICTORIA VILLAGE - Giá tố","4,6 tỷ",53 m²,"86,79 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
Chủ cần bán căn biệt thự có hầm - trệt và 2 lầu cực đẹp khu dự án An Phú - An Khánh,39 tỷ,160 m²,"243,75 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Tôi cho bán căn hộ Florita, 80m2, 2PN,2 WC, full Nội thất , nhà đẹp, giá 5.25 tỉ .LH: 0762 318 ***","5,25 tỷ",80 m²,"65,62 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Hot! Hàng mới mặt tiền đường Nguyễn Duy Trinh, qua năm mở rộng đường 30m mua giờ chắc chắn có lời!",50 tỷ,284 m²,"176,06 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Giỏ hàng bán căn hộ 2PN, 2WC, 79,6m2 tại The Infiniti Riviera Point, 7,4 tỷ VND LH 0706 679 ***","7,4 tỷ","79,6 m²","92,96 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Hot! Hàng mới mặt tiền đường Nguyễn Duy Trinh, qua năm mở rộng đường 30m mua giờ chắc chắn có lời!",50 tỷ,284 m²,"176,06 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Giỏ hàng bán căn hộ 2PN, 2WC, 79,6m2 tại The Infiniti Riviera Point, 7,4 tỷ VND LH 0706 679 ***","7,4 tỷ","79,6 m²","92,96 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
MT Phan Văn Trị - đoạn đẹp ngay ngã tư Nguyễn Oanh - 4.2x18m 1T3L giá 16.5 tỷ,"16,5 tỷ",72 m²,"229,17 tr/m²","Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán căn hộ 2 phòng ngủ, 2 nhà vệ sinh tháp C, view bến xe chợ lớn, căn đẹp số thần tài, số tiến","4,45 tỷ",68 m²,"65,44 tr/m²","Bình Tân, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà 5 tầng 2 mặt tiền đường Xô Viết Nghệ Tĩnh, ngay quận 1, Giá bán 16,9 tỷ TL","16,9 tỷ",64 m²,"264,06 tr/m²","Bình Thạnh, Hồ Chí Minh",8,6,07/10/2025
"Bán CC 3PN tại The Infiniti Riviera Point, 10 tỷ VND, 121,7 m2, Pháp lý chuẩn, LH 0706 679 ***",10 tỷ,"121,7 m²","82,17 tr/m²","Quận 7, Hồ Chí Minh",3,2,07/10/2025
Hot hot! Bán đất thuộc dự án Nam Rạch Chiếc (chùa Đông Hưng) đối diện Global City,"19,4 tỷ",100 m²,194 tr/m²,"Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
Bán căn hộ cao cấp An Gia Bình Chánh - mới đẹp sổ hồng riêng,"2,55 tỷ",59 m²,"43,22 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,07/10/2025
"Chuyển nhượng 3PN The Infiniti Riviera Point Q7, 121.7m2, 10,5 tỷ. LH: 0704 589 ***.","10,5 tỷ","121,7 m²","86,28 tr/m²","Quận 7, Hồ Chí Minh",3,2,07/10/2025
"Cần tiền bán đất gần Vinhomes Quận 9, giá siêu tốt 30 giảm còn 26 tỷ hẻm xe tải",26 tỷ,1.141 m²,"22,79 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Hot hot! Tổng hợp các nền đang bán mặt tiền đường D3 khu dân cư Nam Long,18 tỷ,140 m²,"128,57 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Bán căn hộ Moonlight ngay Aeon Bình Tân 1PN 2PN 2WC giá rẻ thị trường - trả góp,"2,25 tỷ",52 m²,"43,27 tr/m²","Bình Tân, Hồ Chí Minh",2,1,07/10/2025
"Bán căn hộ 2PN 2WC tại The Infiniti Riviera Point, 7,4 tỷ, 79,6 m2, full nội thất, LH 0902 651 ***","7,4 tỷ","79,6 m²","92,96 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Gấp gấp, bán lô đất hiếm mặt tiền view trực diện sông dự án Phú Nhuận đối diện Global City","25,5 tỷ",300 m²,85 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Hàng hiếm Phú Nhuận, đầu tư ngay nhà Trần Huy Liệu, P11 Phú Nhuận, 66m2, sổ hồng riêng",Giá thỏa thuận,66 m²,N/A,"Phú Nhuận, Hồ Chí Minh",3,3,07/10/2025
"Tin thật, vì cần tiền bán gấp căn hộ Galaxy 9, 1 PN, đủ nội thất, giá 4.150 tỷ, LH: 0906 378 ***","4,15 tỷ",48 m²,"86,46 tr/m²","Quận 4, Hồ Chí Minh",1,1,07/10/2025
Hot hot !!! CHÍN CHỦ GỬI BÁN CÁN NHÀ MẶT TIỀN ĐƯỜNG LIÊN PHƯỜNG (30M) RẺ HƠN THỊ TRƯỜNG 4 TỶ !!!,"23,8 tỷ",100 m²,238 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Dọn vào ở ngay! Hẻm vip Nguyễn Trọng Tuyển, Phú Nhuận - Nhà 4 tầng mới (DTSD: 175m2) chỉ 9,5 tỷ TL","9,5 tỷ",58 m²,"163,79 tr/m²","Phú Nhuận, Hồ Chí Minh",4,5,07/10/2025
"Bán CH The Infiniti Riviera Point Q7, 2PN 79,6m² giá bán 7.15 tỷ View City skyline. LH: 0939 720 ***","7,15 tỷ","79,6 m²","89,82 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
Víp __ mặt tiền Đường Yên Thế Khu sân bay Tân Bình DT: 8 x 20m 7 lầu HĐ thuê 150 triệu,49 tỷ,150 m²,"326,67 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
Víp __ mặt tiền Đường Yên Thế Khu sân bay Tân Bình DT: 8 x 20m 7 lầu HĐ thuê 150 triệu,49 tỷ,150 m²,"326,67 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán CC tại The Infiniti Riviera Point, 7,15 tỷ, 79,6m2, 2PN, 2WC, view Phú Mỹ Hưng, LH 0939 720 ***","7,15 tỷ","79,6 m²","89,82 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà mặt tiền đường khu Nam Kỳ Khởi Nghĩa. DT 114m2 (6x19m), 5 tầng, HĐT 80tr/th",Giá thỏa thuận,114 m²,N/A,"Quận 3, Hồ Chí Minh",N/A,N/A,07/10/2025
"MTKD siêu đỉnh Lý Thường Kiệt giao CMT8, Lạc Long Quân - gần 400m2 DT sàn - ngang gần 10m",13 tỷ,40 m²,325 tr/m²,"Tân Bình, Hồ Chí Minh",4,3,07/10/2025
"Bán nhà góc 2 mặt tiền khu Phan Đăng Lưu. DT 105m2 (7x15m), 5 tầng. Giá 25 tỷ TL - tin thật",25 tỷ,105 m²,"238,1 tr/m²","Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà góc 2 mặt tiền khu Xô Viết Nghệ Tĩnh. DT 90m2, (6x15m), 4 tầng. Giá 17,5 tỷ TL - tin thật","17,5 tỷ",90 m²,"194,44 tr/m²","Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà đường lương định của khu 17,3 ha Dt 100m2 giá 19,5 tỷ","19,5 tỷ",100 m²,195 tr/m²,"Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà góc 2 mặt tiền khu Nguyễn Thị Minh Khai. DT 147m2 (7x21m), 3 tầng. Giá 44 tỷ TL - tin thật",44 tỷ,147 m²,"299,32 tr/m²","Quận 1, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán căn hộ 2 phòng ngủ thiết kế hiện đại, không gian sống lý tưởng.","5,7 tỷ",86 m²,"66,28 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà góc 2 mặt tiền đường Nguyễn Thái Bình. DT 102m2 (6x17m), 5 tầng. Giá 20 tỷ TL - tin thật",20 tỷ,102 m²,"196,08 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chính chủ bán gấp CH Richmond City Q. Bình Thạnh 2PN DT: 70m2, lầu trung giá: 5 tỷ 0911 850 ***",5 tỷ,70 m²,"71,43 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà mặt tiền Phạm Hùng KDC Đại Phúc 690m2 phù hợp mọi công năng, LH: 0937 777 ***",Giá thỏa thuận,690 m²,N/A,"Bình Chánh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán Nhà HXH Thành Mỹ, DT: 5.3x13.5m (72m²), 2 Tầng, P.8, Tân Bình. Giá 7.9 tỷ TL","7,9 tỷ",72 m²,"109,72 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
CHÍNH CHỦ GỬI BÁN LÔ ĐẤT MẶT TIỀN TRỤC CHÍNH KDC ĐÔNG THỦ THIÊM,"14,5 tỷ",110 m²,"131,82 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Biệt thự Compound Dragon Village Q9 sổ sẵn giá chỉ 6,8 tỷ/căn, biệt thự view hồ chỉ từ 7,8 tỷ","6,8 tỷ",90 m²,"75,56 tr/m²","Quận 9, Hồ Chí Minh",4,4,07/10/2025
"Bán nhà rẻ Hoàng Hoa Thám, Bình Thạnh - 93m2, 3 tầng nở hậu, hẻm xe hơi - 8,5tỷ TL","8,5 tỷ",93 m²,"91,4 tr/m²","Bình Thạnh, Hồ Chí Minh",4,5,07/10/2025
"Bán Richmond City 2PN giá 5 tỷ 70m2, vay bank 70%, PKD Richmond City 0939 720 ***",5 tỷ,70 m²,"71,43 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà mặt phố 21 tỷ, 80m2 tại Đường Số 1, An Phú, Thủ Đức, HCM",21 tỷ,80 m²,"262,5 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,07/10/2025
"Nhà Tân Phú, hẻm 6m Thoại Ngọc Hầu, gần UBND Quận, 5.3x16m, 3T, 4PN, mới tinh như hình, chủ gấp bán","6,45 tỷ",72 m²,"89,58 tr/m²","Tân Phú, Hồ Chí Minh",4,3,07/10/2025
"Bán biệt thự KDC Him Lam 6A, 8x20 đường 20m giá 28 tỷ, LH A. Hiền 0937 777 ***",28 tỷ,160 m²,175 tr/m²,"Bình Chánh, Hồ Chí Minh",6,5,07/10/2025
"Nhà Tân Phú, hẻm 6m Thoại Ngọc Hầu, gần UBND Quận, 5.3x16m, 3T, 4PN, mới tinh như hình, chủ gấp bán","6,45 tỷ",72 m²,"89,58 tr/m²","Tân Phú, Hồ Chí Minh",4,3,07/10/2025
"Bán biệt thự KDC Him Lam 6A, 8x20 đường 20m giá 28 tỷ, LH A. Hiền 0937 777 ***",28 tỷ,160 m²,175 tr/m²,"Bình Chánh, Hồ Chí Minh",6,5,07/10/2025
"Bán gấp căn hộ Galaxy 9, 2PN, 70m2, nhà đẹp, đủ nội thất, giá bán 6.2 tỷ. LH: 0906 378 ***","6,2 tỷ",70 m²,"88,57 tr/m²","Quận 4, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà Tân Phú- Lũy Bán Bích HXH 8m thông, gần mặt tiền, 68m2(5.2 x 15m), 3 tầng BTCT, Chỉ 6.3 tỷ","6,3 tỷ",68 m²,"92,65 tr/m²","Tân Phú, Hồ Chí Minh",4,3,07/10/2025
"88m 3 phòng ngủ 2WC. Giá 3 tỷ 850 có sổ hồng. Bán căn hộ chung cư Âu Cơ Tower, 659 Âu Cơ","3,85 tỷ",88 m²,"43,75 tr/m²","Tân Phú, Hồ Chí Minh",3,2,07/10/2025
"HÀNG HOT P16 GÒ VẤP NHÀ 1 LẦU 2PN, SÂN XE, KHU PHÂN LÔ ĐẲNG CẤP GIÁ TỐT NHẤT KHU VỰC CHỈ 4TỶ860","4,86 tỷ",55 m²,"88,36 tr/m²","Gò Vấp, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà mới xây 1 trệt 1 lầu +sân thượng, 2 phòng ngủ 3WC, sổ hồng riêng hiện hữu hoàn công P15 Q8","4,55 tỷ","37,2 m²","122,31 tr/m²","Quận 8, Hồ Chí Minh",2,3,07/10/2025
"CHỈ 157 TRIỆU/M2 SỞ HỮU TÀI SẢN GÓC 2 MẶT TIỀN ĐƯỜNG SỐ 3 & 5, BÌNH AN, Q.2. DT: 28 x 24m.",Giá thỏa thuận,605 m²,N/A,"Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán Nhà Tân Phú, Hẻm ôtô 8m Nguyễn Sơn,gần chung cư Phú Thạnh, 65M2(4.2x16), 2 Tầng BTCT,chỉ 6.2 tỷ","6,2 tỷ",65 m²,"95,38 tr/m²","Tân Phú, Hồ Chí Minh",3,3,07/10/2025
"Cần bán lô officetel RiverGate, 26m2, giá 2.59 tỷ. LH: 0906 378 ***","2,59 tỷ",26 m²,"99,62 tr/m²","Quận 4, Hồ Chí Minh",1,1,07/10/2025
"Chủ cần ra lô đất ở đường Tân Liêm, Phong Phú, Bình Chánh, DT 81m2 pháp lý rõ ràng. SHR",Giá thỏa thuận,81 m²,N/A,"Bình Chánh, Hồ Chí Minh",N/A,N/A,07/10/2025
"NHÀ ĐÚC LỬNG 31.6m2 CHỈ 50m RA MẶT TIỀN QUANG TRUNG, ĐỐI DIỆN MESCEDES.","3,25 tỷ","31,6 m²","102,85 tr/m²","Gò Vấp, Hồ Chí Minh",2,1,07/10/2025
"Cần bán gấp officetel Rivergate, 27 m2, full nội thất, lầu cao, giá 2.6ỷ. LH: 0906 378 ***","2,6 tỷ",27 m²,"96,3 tr/m²","Quận 4, Hồ Chí Minh",1,1,07/10/2025
"Bán nhà ở xã hội chung cư Bộ Công An, 72m2 - 2PN, LH: 0916 754 ***","4,1 tỷ",72 m²,"56,94 tr/m²","Quận 2, Hồ Chí Minh",2,2,07/10/2025
"Bán nhà 5.6mx16m - Cư Xá Đô Thành, Q3 - HĐT 60 triệu - Giá 17.5 tỷ TL - 0906 366 ***","17,5 tỷ","83,8 m²","208,83 tr/m²","Quận 3, Hồ Chí Minh",N/A,N/A,07/10/2025
"Cần Bán CH UrbanHill-76m2,2pn.Nhà CDT .Giá :6.9 tỷ.Xem nhà liên hệ :0768 727 *** Hải Đăng","6,9 tỷ",76 m²,"90,79 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"Căn góc SHR 53,3m2 - 2PN - 1WC chung cư Đông Hải, Tô Ký, Quận 12","1,75 tỷ","53,3 m²","32,83 tr/m²","Quận 12, Hồ Chí Minh",2,1,07/10/2025
"Bán 2 nền đất liền kề Trung Mỹ Tây, Q12 hẻm 1/ Trung Mỹ Tây 2A, P. Trung Mỹ Tây, Quận 12","4,3 tỷ",78 m²,"55,13 tr/m²","Quận 12, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chuyển về Đồng Tháp sống, bán nhà thật 67,8m2, 2 tầng, giá 5,3 tỷ bao hết, mới 100%, sổ hồng mới","5,3 tỷ","67,8 m²","78,17 tr/m²","Quận 8, Hồ Chí Minh",4,2,07/10/2025
"Nhà HXH Ba Vân Trường Chinh, 3.8 x 15.5m, nhà cấp 4, tiện xây mới, giá: 6.95 tỷ TL","6,95 tỷ","58,3 m²","119,21 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà khu siêu sang Sư Vạn Hạnh. DT: 7,15x14,96m, giá: 24,8 tỷ","24,8 tỷ",107 m²,"231,78 tr/m²","Quận 10, Hồ Chí Minh",5,5,07/10/2025
"Bán nhà siêu phẩm hẻm oto thông, tặng full nội thất, 4 tầng, 60,9m2, Huỳnh Văn Nghệ, P. 15","8,36 tỷ","60,9 m²","137,27 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
"Hiếm!Bán căn nhà đẹp-04 tầng ngang 4m-Ngay Nguyễn Duy Trinh-Gần Liên Phường,Global-Để full nội thất","8,2 tỷ",54 m²,"151,85 tr/m²","Quận 9, Hồ Chí Minh",3,3,07/10/2025
"Bán đất nền dự án Đông Thủ Thiêm, 13,2 tỷ, 120m2, view đẹp tại Bình Trưng Đông, Q2, HCM","13,2 tỷ",120 m²,110 tr/m²,"Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà riêng tại Tô Ngọc Vân, 22 tỷ, 328m2, uy tín, Hot!",22 tỷ,328 m²,"67,07 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,07/10/2025
